@ Info          %s      Created on 22.9.2016. Preliminary guesses for the errors. Has to be verified!
@ RELATIVE      %s      MAINFIELD
@ RADIUS        %le     0.017

*       PATTERN         dK1             dX              dS              MAINFIELD
$       %s                      %le             %le             %le             %s

        ^BR\.QFO	0.0002		0	0.01367	      QUAD
        ^BR\.QDE	0.0001    	0       -0.002	      QUAD
        BR3.BPM1L3          0           0        0.0051       BPM
        BR3.BPM2L3          0           0        0.00603      BPM
        BR3.BPM3L3          0           0        0.0104       BPM
        BR3.BPM4L3          0           0        0.00741      BPM
        BR3.BPM5L3          0           0        0.0067       BPM
        BR3.BPM6L3          0           0        0.01024      BPM
        BR3.BPM7L3          0           0        0.00856      BPM
        BR3.BPM8L3          0           0        0.00586      BPM
        BR3.BPM9L3          0           0        0.0062       BPM
        BR3.BPM10L3         0           0        0.006695     BPM
        BR3.BPM11L3         0           0        0.005        BPM
        BR3.BPM12L3         0           0        0.00582      BPM
        BR3.BPM13L3         0           0        0.00546      BPM
        BR3.BPM14L3         0           0        0.00524      BPM
        BR3.BPM15L3         0           0        0.00671      BPM
        BR3.BPM16L3         0           0        0.00467      BPM
